"Source_SAP_ID","Target_SAP_ID","Relationship_Type","Relation_Label"
"CMP-307","FP-403","assembled_into","总装构成"
"CMP-308","FP-403","assembled_into","总装构成"
"CMP-309","FP-403","assembled_into","总装构成"
"CMP-310","FP-403","assembled_into","总装构成"
"CMP-314","FP-403","assembled_into","总装构成"
"CMP-315","FP-403","assembled_into","总装构成"
"CMP-302","FP-404","assembled_into","总装构成"
"CMP-303","FP-404","assembled_into","总装构成"
"CMP-306","FP-404","assembled_into","总装构成"
"CMP-307","FP-404","assembled_into","总装构成"
"CMP-308","FP-404","assembled_into","总装构成"
"CMP-309","FP-404","assembled_into","总装构成"
"CMP-406","FP-404","assembled_into","总装构成"
"CMP-318","FP-404","assembled_into","总装构成"
"CMP-402","FP-301","assembled_into","总装构成"
"CMP-404","FP-301","assembled_into","总装构成"
"CMP-405","FP-301","assembled_into","总装构成"
"CMP-406","FP-301","assembled_into","总装构成"
"CMP-406","FP-302","assembled_into","总装构成"
"CMP-402","FP-303","assembled_into","总装构成"
"FP-301","FAC-301","manufactured_at","生产于"
"FP-302","FAC-301","manufactured_at","生产于"
"FP-303","FAC-302","manufactured_at","生产于"
"FP-304","FAC-303","manufactured_at","生产于"
"FP-305","FAC-301","manufactured_at","生产于"
"FP-306","FAC-302","manufactured_at","生产于"
"FP-307","FAC-303","manufactured_at","生产于"
"FP-308","FAC-302","manufactured_at","生产于"
"FP-309","FAC-306","manufactured_at","生产于"
"FP-310","FAC-306","manufactured_at","生产于"
"FP-401","FAC-401","manufactured_at","生产于"
"FP-402","FAC-402","manufactured_at","生产于"
"FP-403","FAC-402","manufactured_at","生产于"
"FP-404","FAC-401","manufactured_at","生产于"
